Designator,Mid X,Mid Y,Layer,Rotation
R1,147.2058,-76.073,top,0
R2,141.5542,-93.9038,top,90
R3,134.3406,-71.2978,top,90
R4,91.0844,-70.0786,top,270
R5,116.0018,-70.0278,top,270
R6,98.3488,-93.7768,top,90
R7,87.3252,-56.5912,top,90
R8,131.445,-94.1578,top,90
R9,121.9708,-52.324,top,0
R10,99.4156,-112.014,top,270
R11,132.5626,-108.4834,top,270
R12,113.9444,-69.9516,top,270
R13,117.983,-52.197,top,0
R14,90.7288,-94.7038,top,90
R15,89.789,-112.3188,top,270
R16,111.4044,-69.977,top,90
R17,113.5888,-52.0954,top,0
R18,108.6612,-70.1802,top,90
R19,109.601,-52.0954,top,0
R20,105.9942,-70.231,top,90
R21,139.2428,-93.9546,top,270
R22,105.7656,-52.07,top,0
R23,121.5136,-94.3102,top,90
R24,112.4458,-109.0676,top,270
R25,94.1578,-69.5198,top,180
R26,123.7234,-94.2848,top,90
R27,125.4506,-108.077,top,0
R28,97.536,-69.5198,top,0
Q1,87.2998,-61.6458,top,0
Q2,119.4308,-61.5188,top,0
Q3,97.1042,-110.0582,top,180
Q4,131.2672,-104.013,top,180
Q5,161.6202,-65.2272,top,0
Q7,114.366,-61.7396,top,0
Q8,160.5026,-58.8264,top,0
Q9,87.7316,-50.6984,top,270
Q10,128.2446,-52.5272,top,270
Q11,90.2208,-107.3912,top,180
Q12,97.7646,-116.0272,top,180
Q13,133.7564,-112.2934,top,0
Q14,118.8466,-48.0568,top,90
Q15,89.6874,-116.7384,top,270
Q16,112.2934,-56.4134,top,0
Q17,109.0168,-61.6204,top,0
Q18,114.4016,-44.4754,top,90
Q19,109.601,-44.6532,top,90
Q20,106.3498,-56.5912,top,0
Q21,104.4448,-44.7548,top,90
Q22,139.8778,-102.6922,top,270
Q23,113.7666,-104.8258,top,90
Q24,123.8504,-104.4448,top,270
Q26,111.5314,-113.6904,top,180
Q27,123.8758,-113.5126,top,180
